iso,year,mil_delta,log_rgdp_pc,log_gov_pc,log_tfp,tbill,def_gdp,debt_gdp
DNK,1980,0.11156515034578618,-3.728010303509138,-4.730855335792496,2.1973541056994317,16.927500069141388,-3.8908104430679322,27.121202531645572
DNK,1981,0.07557386934181087,-3.7438544159848446,-4.664078683667387,2.207812007662733,14.839999377727509,-7.09650396902839,36.51768115942029
DNK,1982,-0.018771366840597548,-3.7067210451551778,-4.5882216170391645,2.23374439673252,16.918332874774933,-9.193975358652148,47.9272040302267
DNK,1983,-0.055152149149876095,-3.675947578468769,-4.534092432758581,2.257160559603805,12.809999287128448,-8.968321529166436,54.166666666666664
DNK,1984,-0.12927215052715324,-3.6377294741613873,-4.515081448933674,2.2851581925085322,11.772499978542328,-6.44014262999665,63.55734513274336
DNK,1985,-0.13079861842871843,-3.6025894654965507,-4.529844815581518,2.308293544545126,10.33250018954277,-3.1914801486997715,68.39349593495935
DNK,1986,-0.1598528704130726,-3.5692792936615834,-4.573991710516003,2.330018041545766,9.224999696016312,1.3955049865273106,66.21381381381381
DNK,1987,0.08682824674341205,-3.5607041840269633,-4.560748070698821,2.3346576287945244,10.108333081007004,1.160032231846964,60.581714285714284
DNK,1988,0.055823148983999094,-3.5672555040472047,-4.545580096972221,2.3379686415018903,8.527500182390213,0.02339800812756644,57.14535519125683
DNK,1989,-0.06325049546383887,-3.5595878800036087,-4.5309640300638545,2.346070811705577,9.593600034713745,-1.0303822198402732,56.583963494132995
DNK,1990,-0.07346310190240679,-3.5469524517902666,-4.502580728099818,2.3629896803232864,10.892999917268753,-2.304930769382261,57.68998748435544
DNK,1991,-0.030998295581409874,-3.5331367029757903,-4.483001690540706,2.378328224825108,9.699500352144241,-3.5355650490069714,58.83949275362319
DNK,1992,-0.06460771819611288,-3.5213771537506964,-4.443117815651371,2.390544840910622,11.035100370645523,-3.5319067362540415,63.8421856639248
DNK,1993,0.018934169341106033,-3.53126871747378,-4.402077110642389,2.398685728271546,10.405399650335312,-4.334245342907668,66.9946162657503
DNK,1994,-0.13148492829078395,-3.486820944904273,-4.35226294511164,2.4533588312465056,6.1344001442193985,-4.158316943969684,66.1340932642487
DNK,1995,-0.05584068862639002,-3.470048352477423,-4.3359919117830525,2.4678926682374884,6.069299951195717,-3.8050809441992075,68.7221010901883
DNK,1996,-0.040616028745858346,-3.4481563816245817,-4.347809259804408,2.487006441327084,3.869299963116646,-1.8401253744759962,69.23421300659756
DNK,1997,-0.027419237096150795,-3.4198315646375237,-4.366937321641375,2.4950572270214955,3.6584999412298203,-0.6742694208373777,70.8180095503521
DNK,1998,-0.009653126757229069,-3.40229778437657,-4.3610042096100665,2.4930109797935684,4.14620004594326,-0.03119762908811086,72.40180609410665
DNK,1999,-0.04353466536644879,-3.380117195131673,-4.358085844507869,2.500547477970447,3.3075999468564987,0.3519071268039575,67.05508317442319
DNK,2000,-0.10707089889012322,-3.343651074135997,-4.359214687547885,2.520081704075491,4.907400161027908,1.4449343456590729,60.39998021583289
DNK,2001,0.07307700443777554,-3.3368835906223717,-4.362641367780659,2.511671699329406,4.618600010871887,0.7756322733662241,58.38596838003851
DNK,2002,-0.024683800782679066,-3.3359138693401804,-4.356400870643317,2.51117702153322,3.484800085425377,0.5166382805154919,58.2495408807368
DNK,2003,-0.04219149188982341,-3.34074532366482,-4.346382669415251,2.5172807254873124,2.375260926783085,-0.13523565847071256,56.64719291720003
DNK,2004,-0.0444271741092328,-3.306049769492682,-4.314528768248767,2.54081226866435,2.161666750907898,1.7513934919556462,53.598703025069895
DNK,2005,-0.1121286869140341,-3.274417990289721,-4.337559432874637,2.550738215694739,2.1994750946760178,5.260266878956301,45.35869784682926
DNK,2006,0.06694427920047952,-3.2375175813163106,-4.343118800417648,2.564257547627993,3.1814899295568466,5.366113961644494,41.022394371376386
DNK,2007,-0.07103294503570678,-3.2240585784555056,-4.247310680314274,2.5591556292376745,4.327499866485596,5.01280936262703,34.06389801234498
DNK,2008,0.04480401062914985,-3.2274434658462674,-4.234698590714488,2.5386227243423325,4.880833253264427,3.357202896605693,42.17385360204591
DNK,2009,-0.00441455763890497,-3.289215977543969,-4.165201013337752,2.5096863445862825,1.809166744351387,-2.1988308040778777,41.78016060537078
DNK,2010,0.052689555632747576,-3.265039388295619,-4.12655041461151,2.537832074573588,0.7018666714429855,-2.6191026290643884,42.6
DNK,2011,-0.08476252135172646,-3.2762920482234645,-4.132751917110763,2.5412342969675024,0.8877333253622055,-2.2032065660039057,46.1
DNK,2012,0.04095385150045838,-3.2774153131316366,-4.099627120344673,2.552311807346217,0.08008666918613017,-3.552555148681227,44.9
DNK,2013,-0.12976823654661906,-3.2684303547814375,-4.1400399065106575,2.5573135905703377,-0.023101666010916233,-1.4539220586566135,44.0
DNK,2014,-0.07372709987203563,-3.2498862829677377,-4.128679086349785,2.5696521270371417,0.06411583162844181,0.9424252949270941,44.3
DNK,2015,-0.034984777855412874,-3.2305092761606655,-4.1249429282020404,2.582800672454916,-0.12600832851603627,-1.5670637429044751,39.8
DNK,2016,0.03625843939819351,-3.204462255832653,-4.146863287231746,2.5963182903709474,-0.44,-0.46754727998925527,37.2
DNK,2017,-0.011086054386576727,-3.1827137548018554,-4.170723744974627,2.6122187605971394,-0.44,1.5868050488836944,35.9
DNK,2018,0.14311948168443167,-3.168182415719184,-4.1593162469601355,2.627656749154408,-0.49,0.7722839614723335,34.0
DNK,2019,0.016101713504304005,-3.151431002208657,-4.170074261496729,2.6312389144127444,-0.55,3.8547621396276375,33.6
DNK,2020,0.07456224670518896,-3.152727484386581,-4.071120132293906,2.622722621282823,-0.15,-0.42467221512170117,42.1
ESP,1955,0.019832250390878325,1.1621344124369302,-1.2190547981595266,1.2554616856573608,2.9999999329447746,0.2982714824960299,35.095795635976586
ESP,1956,-0.05060565161557706,1.3102823600396873,-1.0476010696590803,1.3122765339488598,2.9999999329447746,-0.39900549369522914,34.324837812789625
ESP,1957,-0.025451569774537663,1.3540337251567711,-1.1063804333284601,1.3209921115801735,2.9999999329447746,0.6432117311123386,32.96679841897233
ESP,1958,-0.30120727575781725,1.390973330567576,-0.9042386754875908,1.3422800644390087,2.9999999329447746,-0.5068108069405087,30.015643802647414
ESP,1959,-0.027982548730537182,1.3581705220652223,-0.769287757555811,1.3146372473497678,2.9999999329447746,-1.8423298012656921,29.3874067937034
ESP,1960,0.3452940817316148,1.3748416423575736,-0.7588992408462578,1.3225054761146564,2.9999999329447746,-0.7685155095248684,30.027710649266957
ESP,1961,-0.21950219602740484,1.4857105257827035,-0.8590517019885057,1.4343212031734516,2.9999999329447746,1.82416335905992,27.47991513437058
ESP,1962,0.23650106590497177,1.5773822518846061,-0.6564281962740905,1.5264091977846557,2.9999999329447746,0.794342914084176,25.455936352509177
ESP,1963,-0.29811297234559975,1.6628587177972871,-0.4838899931039955,1.608234228900663,2.9999999329447746,-0.91926098675041,22.144575814146442
ESP,1964,-0.039074346109464475,1.7207521311803058,-0.5345606107075862,1.6950791751949144,2.9999999329447746,0.008551447839675104,18.78248211612045
ESP,1965,-0.045691748839957746,1.7602159704736808,-0.42289096455319425,1.7342258933239563,2.9999999329447746,0.03635189128461566,17.59915641978839
ESP,1966,0.19475253552722327,1.8186302665516807,-0.267446895517647,1.7741104483398953,2.9999999329447746,-0.2139833742310028,17.103868017795353
ESP,1967,-0.22766241657826347,1.8577928472077039,-0.22319635209240696,1.8071218867791725,2.9999999329447746,-0.022457344565546607,16.96347232918913
ESP,1968,0.4457155758156919,1.904803353018306,-0.1357986875213114,1.8478920348110028,2.9999999329447746,-0.6452155873170304,17.50608618827918
ESP,1969,0.13649501498370453,2.0021076785871412,-0.030654672350347023,1.9051583004342532,4.500000178813934,-0.3455991780689092,17.936814846784635
ESP,1970,-0.14755130886189072,2.0274730752907075,0.013649723425586036,1.9252192943520163,5.499999970197678,-0.10519586357465412,17.98258621345196
ESP,1971,-0.1786444798060831,2.0671348206406805,0.15949164012670303,1.9430874460265029,3.999999910593033,-1.4195467155376693,14.869300000000003
ESP,1972,0.20981035229624956,2.1541279048742483,0.1530309655571313,1.9997828898609147,3.999999910593033,-0.29796541775735813,13.556399999999998
ESP,1973,-0.2070403725320622,2.231038745541253,0.1698498026663659,2.04154450814897,5.000000074505806,0.2766913880211437,11.9614
ESP,1974,0.09682221193119789,2.29705576873633,0.23115332488593157,2.063175129457772,5.999999865889549,-0.25044972400710086,11.4724
ESP,1975,-0.20330170402817416,2.29357668431142,0.22911285310109514,2.0505653687191536,6.695166975259781,-0.07153679175035232,11.7128
ESP,1976,0.31678469875674464,2.3099785282313263,0.22404908162626622,2.065318075704495,9.965833276510239,-0.033040674961351574,11.5058
ESP,1977,-0.006814269240472015,2.3217107198235323,0.3166352946657211,2.078651218395834,13.122832775115967,-0.9319770361366793,12.5257
